iter	Passed	Remaining
0	131	131356
1	135	67609
2	136	45485
3	139	34714
4	140	27964
5	141	23471
6	142	20238
7	143	17803
8	144	15890
9	145	14355
10	145	13091
11	146	12036
12	148	11275
13	149	10510
14	149	9844
15	150	9264
16	151	8746
17	151	8292
18	152	7879
19	153	7506
20	153	7176
21	154	6873
22	155	6592
23	155	6340
24	156	6103
25	157	5885
26	157	5685
27	158	5499
28	159	5324
29	159	5160
30	160	5015
31	161	4891
32	162	4760
33	163	4634
34	163	4516
35	164	4410
36	165	4301
37	165	4198
38	166	4104
39	167	4012
40	167	3929
41	168	3844
42	169	3764
43	169	3691
44	170	3618
45	171	3550
46	171	3484
47	172	3421
48	173	3359
49	175	3330
50	176	3275
51	176	3218
52	177	3167
53	177	3114
54	178	3065
55	179	3018
56	179	2971
57	180	2929
58	180	2886
59	181	2843
60	182	2804
61	182	2767
62	183	2729
63	184	2692
64	184	2656
65	185	2621
66	186	2591
67	186	2558
68	187	2525
69	187	2494
70	188	2469
71	189	2443
72	190	2415
73	190	2389
74	191	2363
75	192	2337
76	193	2314
77	193	2288
78	194	2265
79	194	2242
80	195	2220
81	196	2197
82	196	2172
83	197	2150
84	197	2130
85	198	2109
86	199	2091
87	199	2072
88	200	2054
89	201	2035
90	202	2017
91	202	1999
92	203	1981
93	204	1967
94	204	1950
95	205	1934
96	206	1918
97	206	1902
98	207	1886
99	207	1871
100	208	1857
101	209	1841
102	209	1827
103	210	1814
104	211	1801
105	212	1788
106	212	1775
107	213	1763
108	214	1750
109	214	1737
110	215	1726
111	216	1713
112	216	1702
113	217	1690
114	218	1679
115	219	1670
116	219	1660
117	220	1649
118	221	1639
119	222	1628
120	222	1617
121	223	1606
122	223	1596
123	224	1585
124	225	1575
125	225	1565
126	226	1554
127	226	1545
128	227	1536
129	228	1527
130	229	1519
131	229	1510
132	230	1501
133	230	1492
134	231	1483
135	232	1475
136	232	1467
137	233	1458
138	234	1452
139	235	1444
140	235	1437
141	236	1427
142	236	1419
143	237	1412
144	238	1404
145	238	1397
146	239	1390
147	240	1384
148	241	1377
149	241	1370
150	242	1363
151	243	1357
152	243	1350
153	244	1343
154	245	1337
155	246	1331
156	246	1325
157	247	1319
158	248	1313
159	249	1308
160	249	1300
161	250	1295
162	251	1288
163	251	1283
164	252	1277
165	253	1271
166	253	1265
167	254	1259
168	255	1254
169	255	1248
170	256	1243
171	257	1237
172	257	1232
173	258	1227
174	259	1222
175	259	1217
176	260	1211
177	261	1206
178	262	1202
179	262	1197
180	263	1192
181	264	1187
182	265	1183
183	265	1178
184	266	1173
185	267	1169
186	267	1164
187	268	1159
188	269	1154
189	269	1150
190	270	1146
191	271	1141
192	272	1137
193	272	1133
194	273	1128
195	274	1124
196	274	1119
197	275	1115
198	276	1111
199	276	1106
200	277	1102
201	278	1098
202	278	1094
203	279	1090
204	280	1087
205	280	1082
206	281	1079
207	282	1075
208	283	1071
209	283	1067
210	284	1063
211	285	1059
212	285	1056
213	286	1052
214	287	1048
215	287	1045
216	288	1041
217	289	1037
218	290	1034
219	290	1031
220	291	1027
221	292	1024
222	293	1021
223	293	1017
224	294	1014
225	295	1011
226	296	1008
227	296	1004
228	297	1001
229	298	998
230	298	994
231	299	991
232	300	988
233	301	985
234	301	982
235	302	979
236	303	976
237	303	973
238	304	969
239	305	966
240	305	963
241	306	960
242	307	957
243	307	954
244	308	951
245	309	948
246	310	945
247	310	942
248	311	939
249	312	936
250	312	933
251	313	930
252	314	927
253	314	924
254	315	921
255	316	918
256	316	916
257	317	913
258	318	911
259	319	908
260	319	905
261	320	902
262	321	900
263	321	897
264	322	894
265	323	892
266	324	889
267	324	887
268	325	885
269	326	883
270	327	880
271	327	877
272	328	875
273	329	872
274	330	870
275	330	867
276	331	865
277	332	862
278	332	860
279	333	857
280	334	855
281	335	852
282	335	850
283	336	848
284	337	845
285	337	843
286	338	841
287	339	838
288	339	836
289	340	834
290	341	831
291	342	829
292	342	827
293	343	825
294	344	822
295	344	820
296	345	818
297	346	816
298	347	813
299	347	811
300	348	809
301	349	807
302	349	804
303	350	802
304	351	800
305	351	798
306	352	795
307	353	793
308	353	791
309	354	789
310	355	787
311	356	785
312	357	783
313	357	781
314	358	779
315	359	777
316	359	775
317	360	773
318	361	771
319	362	769
320	362	767
321	363	765
322	364	763
323	364	761
324	365	759
325	366	757
326	366	755
327	367	753
328	368	751
329	369	749
330	369	747
331	370	745
332	371	743
333	372	741
334	372	740
335	373	738
336	374	736
337	374	734
338	375	732
339	376	730
340	376	728
341	377	726
342	378	724
343	379	722
344	379	720
345	380	719
346	381	717
347	381	715
348	382	713
349	383	711
350	383	709
351	384	707
352	385	706
353	386	704
354	386	702
355	387	701
356	388	699
357	388	697
358	389	695
359	390	694
360	391	692
361	392	690
362	392	689
363	393	687
364	394	685
365	394	684
366	395	682
367	396	680
368	397	679
369	398	677
370	398	675
371	399	674
372	400	673
373	401	671
374	402	670
375	402	668
376	403	666
377	404	664
378	404	663
379	405	661
380	406	659
381	406	657
382	407	656
383	408	654
384	408	652
385	409	651
386	410	649
387	410	647
388	411	646
389	412	644
390	412	642
391	413	641
392	414	639
393	414	637
394	415	636
395	416	634
396	416	633
397	417	631
398	418	630
399	419	628
400	419	627
401	420	625
402	421	624
403	422	622
404	422	621
405	423	619
406	424	617
407	424	616
408	425	614
409	426	613
410	426	611
411	427	610
412	428	608
413	428	607
414	429	605
415	430	604
416	431	603
417	432	601
418	432	600
419	433	598
420	434	597
421	434	595
422	435	594
423	436	592
424	437	591
425	437	589
426	438	588
427	439	586
428	439	585
429	440	583
430	441	582
431	441	580
432	442	579
433	443	578
434	443	576
435	444	575
436	445	573
437	446	572
438	446	571
439	447	569
440	448	568
441	448	566
442	449	565
443	450	563
444	450	562
445	451	561
446	452	559
447	453	558
448	454	557
449	454	555
450	455	554
451	456	552
452	456	551
453	457	550
454	458	548
455	458	547
456	459	546
457	460	544
458	461	543
459	462	542
460	462	541
461	463	539
462	464	538
463	464	536
464	465	535
465	466	534
466	466	532
467	467	531
468	468	530
469	468	528
470	469	527
471	470	526
472	470	524
473	471	523
474	472	521
475	472	520
476	473	518
477	473	517
478	474	516
479	475	515
480	476	513
481	476	512
482	477	511
483	478	510
484	479	508
485	479	507
486	480	506
487	481	504
488	481	503
489	482	502
490	483	500
491	483	499
492	484	498
493	485	497
494	485	495
495	486	494
496	487	493
497	487	491
498	488	490
499	489	489
500	490	488
501	490	487
502	491	485
503	492	484
504	493	483
505	493	482
506	494	480
507	495	479
508	495	478
509	496	477
510	497	475
511	497	474
512	498	473
513	499	472
514	500	470
515	500	469
516	501	468
517	502	467
518	502	466
519	503	464
520	504	463
521	504	462
522	505	461
523	506	460
524	507	459
525	508	457
526	508	456
527	509	455
528	510	454
529	511	453
530	511	452
531	512	450
532	513	449
533	513	448
534	514	447
535	515	445
536	515	444
537	516	443
538	517	442
539	517	440
540	518	439
541	519	438
542	519	437
543	520	436
544	521	435
545	521	434
546	522	432
547	523	431
548	523	430
549	524	429
550	525	428
551	526	426
552	526	425
553	527	424
554	528	423
555	528	422
556	529	421
557	530	419
558	530	418
559	531	417
560	532	416
561	532	415
562	533	413
563	534	412
564	535	411
565	535	410
566	536	409
567	537	408
568	538	407
569	538	406
570	539	405
571	540	404
572	540	402
573	541	401
574	541	400
575	542	399
576	543	398
577	544	397
578	544	395
579	545	394
580	545	393
581	546	392
582	547	391
583	547	390
584	548	389
585	549	388
586	550	387
587	550	385
588	551	384
589	552	383
590	552	382
591	553	381
592	554	380
593	554	379
594	555	378
595	556	377
596	556	375
597	557	374
598	558	373
599	558	372
600	559	371
601	560	370
602	560	369
603	561	368
604	561	366
605	562	365
606	563	364
607	564	363
608	564	362
609	565	361
610	566	360
611	566	359
612	567	358
613	568	357
614	568	356
615	569	354
616	570	353
617	570	352
618	571	351
619	571	350
620	572	349
621	573	348
622	573	347
623	574	346
624	575	345
625	575	344
626	576	342
627	577	341
628	577	340
629	578	339
630	578	338
631	579	337
632	580	336
633	580	335
634	581	334
635	582	333
636	583	332
637	583	331
638	584	330
639	585	329
640	585	328
